Country,year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Generosity
Switzerland,2015,1,7.587,1.39651,1.34951,0.94143,0.29678
Iceland,2015,2,7.561,1.30232,1.40223,0.94784,0.4363
Denmark,2015,3,7.527,1.32548,1.36058,0.87464,0.34139
Norway,2015,4,7.522,1.459,1.33095,0.88521,0.34699
Canada,2015,5,7.427,1.32629,1.32261,0.90563,0.45811
Finland,2015,6,7.406,1.29025,1.31826,0.88911,0.23351
Netherlands,2015,7,7.378,1.32944,1.28017,0.89284,0.4761
Sweden,2015,8,7.364,1.33171,1.28907,0.91087,0.36262
New Zealand,2015,9,7.286,1.25018,1.31967,0.90837,0.47501
Australia,2015,10,7.284,1.33358,1.30923,0.93156,0.43562
Israel,2015,11,7.278,1.22857,1.22393,0.91387,0.33172
Costa Rica,2015,12,7.226,0.95578,1.23788,0.86027,0.25497
Austria,2015,13,7.2,1.33723,1.29704,0.89042,0.33088
Mexico,2015,14,7.187,1.02054,0.91451,0.81444,0.14074
United States,2015,15,7.119,1.39451,1.24711,0.86179,0.40105
Brazil,2015,16,6.983,0.98124,1.23287,0.69702,0.14574
Ireland,2015,18,6.94,1.33596,1.36948,0.89533,0.45901
Belgium,2015,19,6.937,1.30782,1.28566,0.89667,0.2225
United Arab Emirates,2015,20,6.901,1.42727,1.12575,0.80925,0.26428
United Kingdom,2015,21,6.867,1.26637,1.28548,0.90943,0.51912
Venezuela,2015,23,6.81,1.04424,1.25596,0.72052,0.05841
Singapore,2015,24,6.798,1.52186,1.02,1.02525,0.31105
Panama,2015,25,6.786,1.06353,1.1985,0.79661,0.24434
Germany,2015,26,6.75,1.32792,1.29937,0.89186,0.28214
Chile,2015,27,6.67,1.10715,1.12447,0.85857,0.33363
France,2015,29,6.575,1.27778,1.26038,0.94579,0.12332
Argentina,2015,30,6.574,1.05351,1.24823,0.78723,0.11451
Uruguay,2015,32,6.485,1.06166,1.2089,0.8116,0.2324
Colombia,2015,33,6.477,0.91861,1.24018,0.69077,0.18401
Thailand,2015,34,6.455,0.9669,1.26504,0.7385,0.5763
Saudi Arabia,2015,35,6.411,1.39541,1.08393,0.72025,0.13706
Spain,2015,36,6.329,1.23011,1.31379,0.95562,0.18227
Malta,2015,37,6.302,1.2074,1.30203,0.88721,0.51752
El Salvador,2015,42,6.13,0.76454,1.02507,0.67737,0.10692
Uzbekistan,2015,44,6.003,0.63244,1.34043,0.59772,0.22837
Slovakia,2015,45,5.995,1.16891,1.26999,0.78902,0.16893
Japan,2015,46,5.987,1.27074,1.25712,0.99111,0.10705
South Korea,2015,47,5.984,1.24461,0.95774,0.96538,0.18557
Ecuador,2015,48,5.975,0.86402,0.99903,0.79075,0.11541
Bahrain,2015,49,5.96,1.32376,1.21624,0.74716,0.17362
Italy,2015,50,5.948,1.25114,1.19777,0.95446,0.22823
Bolivia,2015,51,5.89,0.68133,0.97841,0.5392,0.20536
Moldova,2015,52,5.889,0.59448,1.01528,0.61826,0.20951
Paraguay,2015,53,5.878,0.75985,1.30477,0.66098,0.3424
Kazakhstan,2015,54,5.855,1.12254,1.12241,0.64368,0.11827
Slovenia,2015,55,5.848,1.18498,1.27385,0.87337,0.25328
Lithuania,2015,56,5.833,1.14723,1.25745,0.73128,0.02641
Nicaragua,2015,57,5.828,0.59325,1.14184,0.74314,0.27815
Peru,2015,58,5.824,0.90019,0.97459,0.73017,0.14982
Poland,2015,60,5.791,1.12555,1.27948,0.77903,0.16759
Malaysia,2015,61,5.77,1.12486,1.07023,0.72394,0.33075
Croatia,2015,62,5.759,1.08254,0.79624,0.78805,0.05444
Russia,2015,64,5.716,1.13764,1.23617,0.66926,0.00199
Jamaica,2015,65,5.709,0.81038,1.15102,0.68741,0.2123
Cyprus,2015,67,5.689,1.20813,0.89318,0.92356,0.30638
Algeria,2015,68,5.605,0.93929,1.07772,0.61766,0.07822
Kosovo,2015,69,5.589,0.80148,0.81198,0.63132,0.2831
Mauritius,2015,71,5.477,1.00761,0.98521,0.7095,0.37744
Estonia,2015,73,5.429,1.15174,1.22791,0.77361,0.0868
Indonesia,2015,74,5.399,0.82827,1.08708,0.63793,0.51535
Vietnam,2015,75,5.36,0.63216,0.91226,0.74676,0.1686
Turkey,2015,76,5.332,1.06098,0.94632,0.73172,0.12253
Kyrgyzstan,2015,77,5.286,0.47428,1.15115,0.65088,0.3003
Nigeria,2015,78,5.268,0.65435,0.90432,0.16007,0.27233
Pakistan,2015,81,5.194,0.59543,0.41411,0.51466,0.33671
Jordan,2015,82,5.192,0.90198,1.05392,0.69639,0.11053
Montenegro,2015,82,5.192,0.97438,0.90557,0.72521,0.1614
China,2015,84,5.14,0.89012,0.94675,0.81658,0.08185
Zambia,2015,85,5.129,0.47038,0.91612,0.29924,0.19591
Romania,2015,86,5.124,1.04345,0.88588,0.7689,0.13748
Serbia,2015,87,5.123,0.92053,1.00964,0.74836,0.19231
Portugal,2015,88,5.102,1.15991,1.13935,0.87519,0.13719
Latvia,2015,89,5.098,1.11312,1.09562,0.72437,0.18226
Philippines,2015,90,5.073,0.70532,1.03516,0.58114,0.24991
Morocco,2015,92,5.013,0.73479,0.64095,0.60954,0.07172
Albania,2015,95,4.959,0.87867,0.80434,0.81325,0.14272
Bosnia and Herzegovina,2015,96,4.949,0.83223,0.91916,0.79081,0.24808
Dominican Republic,2015,98,4.885,0.89537,1.17202,0.66825,0.21684
Mongolia,2015,100,4.874,0.82819,1.3006,0.60268,0.3323
Greece,2015,102,4.857,1.15406,0.92933,0.88213,0.0
Lebanon,2015,103,4.839,1.02564,0.80001,0.83947,0.21854
Hungary,2015,104,4.8,1.12094,1.20215,0.75905,0.128
Honduras,2015,105,4.788,0.59532,0.95348,0.6951,0.23027
Tajikistan,2015,106,4.786,0.39047,0.85563,0.57379,0.22974
Tunisia,2015,107,4.739,0.88113,0.60429,0.73793,0.06431
Bangladesh,2015,109,4.694,0.39753,0.43106,0.60164,0.21222
Iran,2015,110,4.686,1.0088,0.54447,0.69805,0.38086
Ukraine,2015,111,4.681,0.79907,1.20278,0.6739,0.15275
Iraq,2015,112,4.677,0.98549,0.81889,0.60237,0.17922
South Africa,2015,113,4.642,0.92049,1.18468,0.27688,0.11973
Ghana,2015,114,4.633,0.54558,0.67954,0.40132,0.23087
Zimbabwe,2015,115,4.61,0.271,1.03276,0.33475,0.18987
India,2015,117,4.565,0.64499,0.38174,0.51529,0.26475
Nepal,2015,121,4.514,0.35997,0.86449,0.56874,0.32296
Ethiopia,2015,122,4.512,0.19073,0.60406,0.44055,0.24325
Sierra Leone,2015,123,4.507,0.33024,0.95571,0.0,0.21488
Kenya,2015,125,4.419,0.36471,0.99876,0.41435,0.37542
Armenia,2015,127,4.35,0.76821,0.77711,0.7299,0.07855
Myanmar,2015,129,4.307,0.27108,0.70905,0.48246,0.79588
Georgia,2015,130,4.297,0.7419,0.38562,0.72926,0.05547
Malawi,2015,131,4.292,0.01604,0.41134,0.22562,0.33128
Sri Lanka,2015,132,4.271,0.83524,1.01905,0.70806,0.40828
Cameroon,2015,133,4.252,0.4225,0.88767,0.23402,0.20618
Bulgaria,2015,134,4.218,1.01216,1.10614,0.76649,0.11921
Egypt,2015,135,4.194,0.8818,0.747,0.61712,0.11291
Mali,2015,138,3.995,0.26074,1.03526,0.20583,0.18798
Uganda,2015,141,3.931,0.21102,1.13299,0.33861,0.29066
Senegal,2015,142,3.904,0.36498,0.97619,0.4354,0.20843
Gabon,2015,143,3.896,1.06024,0.90528,0.43372,0.06822
Cambodia,2015,145,3.819,0.46038,0.62736,0.61114,0.40359
Tanzania,2015,146,3.781,0.2852,1.00268,0.38215,0.34377
Guinea,2015,150,3.656,0.17417,0.46475,0.24009,0.28657
Ivory Coast,2015,151,3.655,0.46534,0.77115,0.15185,0.20165
Burkina Faso,2015,152,3.587,0.25812,0.85188,0.27125,0.21747
Afghanistan,2015,153,3.575,0.31982,0.30285,0.30335,0.3651
Benin,2015,155,3.34,0.28665,0.35386,0.3191,0.1826
Togo,2015,158,2.839,0.20868,0.13995,0.28443,0.16681
Denmark,2016,1,7.526,1.44178,1.16374,0.79504,0.36171
Switzerland,2016,2,7.509,1.52733,1.14524,0.86303,0.28083
Iceland,2016,3,7.501,1.42666,1.18326,0.86733,0.47678
Norway,2016,4,7.498,1.57744,1.1269,0.79579,0.37895
Finland,2016,5,7.413,1.40598,1.13464,0.81091,0.25492
Canada,2016,6,7.404,1.44015,1.0961,0.8276,0.44834
Netherlands,2016,7,7.339,1.46468,1.02912,0.81231,0.47416
New Zealand,2016,8,7.334,1.36066,1.17278,0.83096,0.49401
Australia,2016,9,7.313,1.44443,1.10476,0.8512,0.47407
Sweden,2016,10,7.291,1.45181,1.08764,0.83121,0.38254
Israel,2016,11,7.267,1.33766,0.99537,0.84917,0.32288
Austria,2016,12,7.119,1.45038,1.08383,0.80565,0.32865
United States,2016,13,7.104,1.50796,1.04782,0.779,0.41077
Costa Rica,2016,14,7.087,1.06879,1.02152,0.76146,0.22553
Germany,2016,16,6.994,1.44787,1.09774,0.81487,0.30452
Brazil,2016,17,6.952,1.08754,1.03938,0.61415,0.15776
Belgium,2016,18,6.929,1.42539,1.05249,0.81959,0.2424
Ireland,2016,19,6.907,1.48341,1.16157,0.81455,0.44963
Mexico,2016,21,6.778,1.11508,0.7146,0.71143,0.11735
Singapore,2016,22,6.739,1.64555,0.86758,0.94719,0.32706
United Kingdom,2016,23,6.725,1.40283,1.08672,0.80991,0.50156
Chile,2016,24,6.705,1.2167,0.90587,0.81883,0.31595
Panama,2016,25,6.701,1.18306,0.98912,0.70835,0.2418
Argentina,2016,26,6.65,1.15137,1.06612,0.69711,0.10989
United Arab Emirates,2016,28,6.573,1.57352,0.87114,0.72993,0.26591
Uruguay,2016,29,6.545,1.18157,1.03143,0.72183,0.18056
Malta,2016,30,6.488,1.30782,1.09879,0.80315,0.56237
Colombia,2016,31,6.481,1.03032,1.02169,0.59659,0.15626
France,2016,32,6.478,1.39488,1.00508,0.83795,0.1216
Thailand,2016,33,6.474,1.0893,1.04477,0.64915,0.58696
Saudi Arabia,2016,34,6.379,1.48953,0.84829,0.59267,0.15457
Spain,2016,37,6.361,1.34253,1.12945,0.87896,0.17665
Algeria,2016,38,6.355,1.05266,0.83309,0.61804,0.07044
Bahrain,2016,42,6.218,1.44024,0.94397,0.65696,0.17147
Venezuela,2016,44,6.084,1.13367,1.03302,0.61904,0.0425
Slovakia,2016,45,6.078,1.27973,1.08268,0.70367,0.13837
El Salvador,2016,46,6.068,0.8737,0.80975,0.596,0.08877
Malaysia,2016,47,6.005,1.25142,0.88025,0.62366,0.41474
Nicaragua,2016,48,5.992,0.69384,0.89521,0.65213,0.29773
Uzbekistan,2016,49,5.987,0.73591,1.1681,0.50163,0.34326
Italy,2016,50,5.977,1.35495,1.04167,0.85102,0.16684
Ecuador,2016,51,5.976,0.97306,0.85974,0.68613,0.10074
Japan,2016,53,5.921,1.38007,1.06054,0.91491,0.10224
Kazakhstan,2016,54,5.919,1.22943,0.95544,0.57386,0.15011
Moldova,2016,55,5.897,0.69177,0.83132,0.52309,0.19997
Russia,2016,56,5.856,1.23228,1.05261,0.58991,0.02736
Poland,2016,57,5.835,1.24585,1.04685,0.69058,0.14443
South Korea,2016,57,5.835,1.35948,0.72194,0.88645,0.18824
Bolivia,2016,59,5.822,0.79422,0.83779,0.4697,0.21698
Lithuania,2016,60,5.813,1.2692,1.06411,0.64674,0.02025
Slovenia,2016,63,5.768,1.29947,1.05613,0.79151,0.25738
Peru,2016,64,5.743,0.99602,0.81255,0.62994,0.14527
Mauritius,2016,66,5.648,1.14372,0.75695,0.66189,0.36951
Latvia,2016,68,5.56,1.21788,0.95025,0.63952,0.17445
Cyprus,2016,69,5.546,1.31857,0.70697,0.8488,0.27906
Paraguay,2016,70,5.538,0.89373,1.11111,0.58295,0.25296
Romania,2016,71,5.528,1.1697,0.72803,0.67602,0.12889
Estonia,2016,72,5.517,1.27964,1.05163,0.68098,0.08423
Jamaica,2016,73,5.51,0.89333,0.96372,0.59469,0.22245
Croatia,2016,74,5.488,1.18649,0.60809,0.70524,0.18434
Kosovo,2016,77,5.401,0.90145,0.66062,0.54,0.27992
Turkey,2016,78,5.389,1.16492,0.87717,0.64718,0.04707
Indonesia,2016,79,5.314,0.95104,0.87625,0.49374,0.56521
Jordan,2016,80,5.303,0.99673,0.86216,0.60712,0.14262
Philippines,2016,82,5.279,0.81217,0.87877,0.47036,0.21674
China,2016,83,5.245,1.0278,0.79381,0.73561,0.04959
Kyrgyzstan,2016,85,5.185,0.56044,0.95434,0.55449,0.38432
Serbia,2016,86,5.177,1.03437,0.81329,0.6458,0.20737
Bosnia and Herzegovina,2016,87,5.163,0.93383,0.64367,0.70766,0.29889
Montenegro,2016,88,5.161,1.07838,0.74173,0.63533,0.17191
Dominican Republic,2016,89,5.155,1.02787,0.99496,0.57669,0.21286
Morocco,2016,90,5.151,0.84058,0.38595,0.59471,0.04053
Hungary,2016,91,5.145,1.24142,0.93164,0.67608,0.099
Pakistan,2016,92,5.132,0.68816,0.26135,0.40306,0.31185
Lebanon,2016,93,5.129,1.12268,0.64184,0.76171,0.23693
Portugal,2016,94,5.123,1.27607,0.94367,0.79363,0.11691
Vietnam,2016,96,5.061,0.74037,0.79117,0.66157,0.25075
Tunisia,2016,98,5.045,0.97724,0.43165,0.59577,0.03936
Greece,2016,99,5.033,1.24886,0.75473,0.80029,0.0
Tajikistan,2016,100,4.996,0.48835,0.75602,0.53119,0.25998
Mongolia,2016,101,4.907,0.98853,1.08983,0.55469,0.34539
Nigeria,2016,103,4.875,0.75216,0.64498,0.05108,0.23219
Honduras,2016,104,4.871,0.69429,0.75596,0.58383,0.2044
Iran,2016,105,4.813,1.11758,0.38857,0.64232,0.38538
Zambia,2016,106,4.795,0.61202,0.6376,0.23573,0.17866
Nepal,2016,107,4.793,0.44626,0.69699,0.50073,0.3816
Albania,2016,109,4.655,0.9553,0.50163,0.73007,0.1684
Bangladesh,2016,110,4.643,0.54177,0.24749,0.52989,0.19132
Sierra Leone,2016,111,4.635,0.36485,0.628,0.0,0.23897
Iraq,2016,112,4.575,1.07474,0.59205,0.51076,0.19589
Cameroon,2016,114,4.513,0.52497,0.62542,0.12698,0.2268
Ethiopia,2016,115,4.508,0.29283,0.37932,0.34578,0.29522
South Africa,2016,116,4.459,1.02416,0.96053,0.18611,0.13656
Sri Lanka,2016,117,4.415,0.97318,0.84783,0.62007,0.46978
India,2016,118,4.404,0.74036,0.29247,0.45091,0.25028
Myanmar,2016,119,4.395,0.34112,0.69981,0.3988,0.81971
Egypt,2016,120,4.362,0.95395,0.49813,0.52116,0.12706
Armenia,2016,121,4.36,0.86086,0.62477,0.64083,0.07793
Kenya,2016,122,4.356,0.52267,0.7624,0.30147,0.41328
Ukraine,2016,123,4.324,0.87287,1.01413,0.58628,0.20363
Ghana,2016,124,4.276,0.63107,0.49353,0.29681,0.21203
Georgia,2016,126,4.252,0.83792,0.19249,0.64035,0.06786
Senegal,2016,128,4.219,0.44314,0.77416,0.40457,0.19103
Bulgaria,2016,129,4.217,1.11306,0.92542,0.67806,0.12793
Zimbabwe,2016,131,4.193,0.35041,0.71478,0.1595,0.18503
Malawi,2016,132,4.156,0.08709,0.147,0.29364,0.30968
Gabon,2016,134,4.121,1.15851,0.72368,0.3494,0.06244
Mali,2016,135,4.073,0.31292,0.86333,0.16347,0.21064
Ivory Coast,2016,139,3.916,0.55507,0.57576,0.04476,0.20338
Cambodia,2016,140,3.907,0.55604,0.5375,0.42494,0.40339
Burkina Faso,2016,145,3.739,0.31995,0.63054,0.21297,0.24353
Uganda,2016,145,3.739,0.34719,0.90981,0.19625,0.27102
Tanzania,2016,149,3.666,0.47155,0.77623,0.357,0.31472
Guinea,2016,151,3.607,0.22415,0.3109,0.18829,0.29914
Benin,2016,153,3.484,0.39499,0.10419,0.21028,0.2018
Afghanistan,2016,154,3.36,0.38227,0.11037,0.17344,0.31268
Togo,2016,155,3.303,0.28123,0.0,0.24811,0.17517
Norway,2017,1,7.53700017929077,1.61646318435669,1.53352355957031,0.796666502952576,0.36201223731041
Denmark,2017,2,7.52199983596802,1.48238301277161,1.55112159252167,0.792565524578094,0.355280488729477
Iceland,2017,3,7.50400018692017,1.480633020401,1.6105740070343,0.833552122116089,0.475540220737457
Switzerland,2017,4,7.49399995803833,1.56497955322266,1.51691174507141,0.858131289482117,0.290549278259277
Finland,2017,5,7.4689998626709,1.44357192516327,1.5402467250824,0.80915766954422,0.24548277258873
Netherlands,2017,6,7.3769998550415,1.50394463539124,1.42893922328949,0.810696125030518,0.470489829778671
Canada,2017,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.435539722442627
New Zealand,2017,8,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.500005125999451
Sweden,2017,9,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.385399252176285
Australia,2017,10,7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.477699249982834
Israel,2017,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.330082654953003
Costa Rica,2017,12,7.0789999961853,1.10970628261566,1.41640365123749,0.759509265422821,0.214613229036331
Austria,2017,13,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.316472321748734
United States,2017,14,6.99300003051758,1.54625928401947,1.41992056369781,0.77428662776947,0.392578780651093
Ireland,2017,15,6.97700023651123,1.53570663928986,1.55823111534119,0.80978262424469,0.42785832285881
Germany,2017,16,6.95100021362305,1.48792338371277,1.47252035140991,0.798950731754303,0.336269170045853
Belgium,2017,17,6.89099979400635,1.46378076076508,1.46231269836426,0.818091869354248,0.231503337621689
United Kingdom,2017,19,6.71400022506714,1.44163393974304,1.49646008014679,0.805335938930511,0.492774158716202
Chile,2017,20,6.65199995040894,1.25278460979462,1.28402495384216,0.819479703903198,0.326662421226501
United Arab Emirates,2017,21,6.64799976348877,1.62634336948395,1.26641023159027,0.726798236370087,0.3609419465065
Brazil,2017,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.16234989464283
Argentina,2017,24,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.109457060694695
Mexico,2017,25,6.57800006866455,1.15318381786346,1.210862159729,0.709978997707367,0.120990432798862
Singapore,2017,26,6.57200002670288,1.69227766990662,1.35381436347961,0.949492394924164,0.345965981483459
Malta,2017,27,6.52699995040894,1.34327983856201,1.48841166496277,0.821944236755371,0.574730575084686
Uruguay,2017,28,6.4539999961853,1.21755969524384,1.41222786903381,0.719216823577881,0.175096929073334
Panama,2017,30,6.4520001411438,1.23374843597412,1.37319254875183,0.706156134605408,0.21055693924427
France,2017,31,6.44199991226196,1.43092346191406,1.38777685165405,0.844465851783752,0.129762306809425
Thailand,2017,32,6.42399978637695,1.12786877155304,1.42579245567322,0.647239029407501,0.572123110294342
Spain,2017,34,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.190133571624756
Colombia,2017,36,6.35699987411499,1.07062232494354,1.4021829366684,0.595027923583984,0.149014472961426
Saudi Arabia,2017,37,6.3439998626709,1.53062355518341,1.28667759895325,0.590148329734802,0.147616013884544
Slovakia,2017,40,6.09800004959106,1.32539355754852,1.50505924224854,0.712732911109924,0.136544480919838
Bahrain,2017,41,6.08699989318848,1.48841226100922,1.32311046123505,0.653133034706116,0.172668486833572
Malaysia,2017,42,6.08400011062622,1.29121541976929,1.28464603424072,0.618784427642822,0.416608929634094
Nicaragua,2017,43,6.07100009918213,0.737299203872681,1.28721570968628,0.653095960617065,0.301674216985703
Ecuador,2017,44,6.00799989700317,1.00082039833069,1.28616881370544,0.685636222362518,0.150112465023994
El Salvador,2017,45,6.00299978256226,0.909784495830536,1.18212509155273,0.596018552780151,0.0782579854130745
Poland,2017,46,5.97300004959106,1.29178786277771,1.44571197032928,0.699475347995758,0.158465966582298
Uzbekistan,2017,47,5.97100019454956,0.786441087722778,1.54896914958954,0.498272627592087,0.415983647108078
Italy,2017,48,5.96400022506714,1.39506661891937,1.44492328166962,0.853144347667694,0.17278964817524
Russia,2017,49,5.96299982070923,1.28177809715271,1.46928238868713,0.547349333763123,0.0522638224065304
Japan,2017,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.12057276815176
Lithuania,2017,52,5.90199995040894,1.31458234786987,1.47351610660553,0.62894994020462,0.010164656676352
Algeria,2017,53,5.87200021743774,1.09186446666718,1.1462174654007,0.617584645748138,0.0694366469979286
Latvia,2017,54,5.84999990463257,1.26074862480164,1.40471494197845,0.638566970825195,0.153074786067009
South Korea,2017,55,5.83799982070923,1.40167844295502,1.12827444076538,0.900214076042175,0.206674367189407
Moldova,2017,56,5.83799982070923,0.728870630264282,1.25182557106018,0.589465200901031,0.208779126405716
Romania,2017,57,5.82499980926514,1.21768391132355,1.15009129047394,0.685158312320709,0.133519917726517
Bolivia,2017,58,5.82299995422363,0.833756566047668,1.22761905193329,0.473630249500275,0.22556072473526
Kazakhstan,2017,60,5.81899976730347,1.28455626964569,1.38436901569366,0.606041550636292,0.201964423060417
Slovenia,2017,62,5.75799989700317,1.3412059545517,1.45251882076263,0.790828227996826,0.242649093270302
Peru,2017,63,5.71500015258789,1.03522527217865,1.21877038478851,0.630166113376617,0.126819714903831
Mauritius,2017,64,5.62900018692017,1.18939554691315,1.20956099033356,0.638007462024689,0.360933750867844
Cyprus,2017,65,5.62099981307983,1.35593807697296,1.13136327266693,0.84471470117569,0.271254301071167
Estonia,2017,66,5.61100006103516,1.32087934017181,1.47667109966278,0.695168316364288,0.0988908112049103
Turkey,2017,69,5.5,1.19827437400818,1.33775317668915,0.637605607509613,0.0466930419206619
