Country,year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Generosity
Mexico,2020,24,6.465000153,9.797797203,0.838665426,68.29902649,-0.175266623
Uruguay,2020,26,6.440100193,9.948192596,0.92281127,69.00254822,-0.101103112
Saudi Arabia,2020,27,6.406499863,10.79781246,0.874067068,66.30514526,-0.168695062
Spain,2020,28,6.400899887,10.46292686,0.921125412,74.40270996,-0.050961714
Italy,2020,30,6.38740015,10.48183632,0.889878571,73.60168457,-0.043460999
Singapore,2020,31,6.377099991,11.39552116,0.910268962,76.80458069,0.029879224
Brazil,2020,32,6.375599861,9.56643486,0.896723807,66.48016357,-0.101812392
Slovenia,2020,33,6.363399982,10.39232254,0.939575672,71.1029892,-0.080603383
El Salvador,2020,34,6.34829998,8.909075737,0.806092262,66.10826111,-0.121072978
Kosovo,2020,35,6.325200081,9.204429626,0.820726514,63.88555527,0.190933764
Panama,2020,36,6.304800034,10.03423405,0.902094483,69.60301208,-0.153927714
Slovakia,2020,37,6.280600071,10.34774971,0.922493756,68.90634155,-0.124409303
Uzbekistan,2020,38,6.257599831,8.740371704,0.926595807,65.10757446,0.248427153
Chile,2020,39,6.228499889,10.0320549,0.879713595,69.90061951,-0.065668367
Bahrain,2020,40,6.227300167,10.67638016,0.876342118,68.5,0.13372919
Lithuania,2020,41,6.215499878,10.34362602,0.926107109,67.29407501,-0.219725296
Poland,2020,43,6.186299801,10.26512432,0.874257445,69.31113434,-0.205084071
Colombia,2020,44,6.163400173,9.500369072,0.884440243,67.69958496,-0.161235645
Cyprus,2020,45,6.15899992,10.40570259,0.805996239,73.70222473,0.043731496
Nicaragua,2020,46,6.13710022,8.493160248,0.857497036,67.50717926,0.020959141
Romania,2020,47,6.123700142,10.107584,0.825161517,67.20723724,-0.19781521
Mauritius,2020,49,6.101299763,9.956786156,0.910357833,66.40434265,-0.018318573
Kazakhstan,2020,50,6.057899952,10.11465836,0.934744895,64.60996246,-0.068488635
Estonia,2020,51,6.021800041,10.34001732,0.934729993,68.60495758,-0.111697771
Philippines,2020,52,6.006000042,8.993545532,0.846730053,61.92676163,-0.105463006
Hungary,2020,53,6.000400066,10.24924374,0.921934128,67.60997009,-0.194323018
Thailand,2020,54,5.998799801,9.741791725,0.889973223,67.25059509,0.268685192
Argentina,2020,55,5.974699974,9.810955048,0.900567949,68.80380249,-0.194913864
Honduras,2020,56,5.953199863,8.424534798,0.821870148,67.19876862,0.086969115
Latvia,2020,57,5.949999809,10.17531967,0.918288589,66.8074646,-0.186888844
Ecuador,2020,58,5.925199986,9.246058464,0.836418986,68.50003815,-0.127014965
Portugal,2020,59,5.910900116,10.26374245,0.886590719,72.40202332,-0.220714301
Jamaica,2020,60,5.889800072,9.006250381,0.915701866,67.09999847,-0.125106767
South Korea,2020,61,5.872399807,10.51056671,0.799387157,73.6027298,-0.043404032
Japan,2020,62,5.870800018,10.57968903,0.883545935,75.00096893,-0.246910349
Peru,2020,63,5.796800137,9.456313133,0.831075251,68.10023499,-0.16238822
Serbia,2020,64,5.77820015,9.680980682,0.881475747,68.21020508,-0.073676221
Bolivia,2020,65,5.747499943,8.851115227,0.803108692,63.6004715,-0.09168113
Pakistan,2020,66,5.69329977,8.482727051,0.689062297,58.25313568,0.04489987
Paraguay,2020,67,5.692100048,9.389982224,0.898727894,65.63993835,0.007997713
Dominican Republic,2020,68,5.689199924,9.664880753,0.882085383,65.80748749,-0.131263286
Bosnia and Herzegovina,2020,69,5.674099922,9.455817223,0.829204142,67.80813599,0.098274559
Moldova,2020,70,5.607500076,8.776714325,0.843313575,65.01301575,-0.037741039
Tajikistan,2020,71,5.555699825,8.024810791,0.835297108,64.10459137,-0.025088511
Montenegro,2020,72,5.54610014,9.751860619,0.855314612,68.50534821,-0.075600356
Russia,2020,73,5.546000004,10.12887192,0.903150737,64.10045624,-0.151153743
Kyrgyzstan,2020,74,5.541500092,8.148405075,0.887228489,64.10601044,0.154772058
Greece,2020,77,5.514999866,10.13232613,0.814380348,72.40525818,-0.300907373
Croatia,2020,79,5.504700184,10.07087517,0.874623716,70.21490479,-0.128538325
Mongolia,2020,81,5.456200123,9.412186623,0.937142491,62.30448532,0.098093867
Malaysia,2020,82,5.384300232,10.26251888,0.816509426,67.10215759,0.114726797
Vietnam,2020,83,5.353499889,8.809545517,0.849987149,67.9527359,-0.094533332
Indonesia,2020,84,5.285600185,9.36975193,0.808379889,62.15584946,0.519586504
Ivory Coast,2020,85,5.233300209,8.225561142,0.658048689,49.50377274,-0.043991156
Benin,2020,86,5.21600008,7.674319744,0.468671143,54.31246567,-0.003537213
Ghana,2020,91,5.147999763,8.350645065,0.728601098,57.20398712,0.094170853
Nepal,2020,92,5.137199879,7.925357342,0.785512447,63.77917862,0.154168829
Turkey,2020,93,5.131800175,10.12941933,0.826313555,66.90281677,-0.171046436
China,2020,94,5.123899937,9.688568115,0.798760593,69.2891922,-0.18142575
Bulgaria,2020,96,5.101500034,9.869318962,0.937840343,66.80397797,-0.143908441
Morocco,2020,97,5.094799995,8.940313339,0.592628479,65.89624023,-0.240377247
Cameroon,2020,98,5.084899902,8.118647575,0.700386405,52.7049408,-0.00149645
Venezuela,2020,99,5.053199768,8.977793694,0.890408158,66.50534058,-0.169090509
Algeria,2020,100,5.005099773,9.537964821,0.803385139,65.90517426,-0.121105164
Senegal,2020,101,4.980800152,8.118982315,0.723616004,59.59915161,-0.052335154
Guinea,2020,102,4.949299812,7.750990391,0.637573481,54.46780014,0.076328471
Albania,2020,105,4.882699966,9.417930603,0.671070457,68.70813751,-0.042309489
Cambodia,2020,106,4.848400116,8.249890327,0.773080647,61.52996826,0.051911179
Bangladesh,2020,107,4.832799911,8.287063599,0.687292993,64.50306702,-0.033664726
Gabon,2020,108,4.829299927,9.680537224,0.787886858,59.71533966,-0.222261623
South Africa,2020,109,4.814099789,9.403370857,0.852532268,56.50601196,-0.109777324
Iraq,2020,110,4.784800053,9.661095619,0.747694969,59.90354919,-0.06956476
Lebanon,2020,111,4.771500111,9.3617239,0.824338138,67.10658264,-0.06121527
Burkina Faso,2020,112,4.768700123,7.46854496,0.712943614,53.88945389,-0.019080516
Mali,2020,114,4.729300022,7.629852295,0.731468976,51.72698212,-0.044366926
Nigeria,2020,115,4.724100113,8.57662487,0.73721689,49.86190796,0.033745807
Armenia,2020,116,4.676799774,9.100476265,0.757479429,66.75065613,-0.13877961
Georgia,2020,117,4.672599792,9.226100922,0.629033029,64.49520874,-0.22892037
Iran,2020,118,4.672399998,9.813719749,0.694689691,66.00614929,0.117891103
Jordan,2020,119,4.633399963,9.025999069,0.80216372,66.79975128,-0.162565202
Kenya,2020,121,4.583000183,8.02977562,0.702652037,60.09693146,0.294681519
Ukraine,2020,123,4.56069994,9.010690689,0.878879368,64.60678101,-0.030933706
Uganda,2020,126,4.43200016,7.500389576,0.764994621,55.70820236,0.099487431
Tunisia,2020,128,4.392199993,9.314972878,0.688718557,66.89785767,-0.216413811
Sri Lanka,2020,130,4.327000141,9.389969826,0.825374067,67.20006561,0.081129618
Myanmar,2020,133,4.308000088,8.680481911,0.78440702,58.96171188,0.560663998
Togo,2020,135,4.187200069,7.357711315,0.551312625,54.71989822,0.002667875
Ethiopia,2020,136,4.186200142,7.509385586,0.743307352,58.63959122,0.043377332
Egypt,2020,138,4.151400089,9.316541672,0.735447824,61.78015137,-0.196878314
Sierra Leone,2020,139,3.926399946,7.26880312,0.636142015,50.86514282,0.088660747
Zambia,2020,141,3.759399891,8.224720001,0.698824465,55.29937744,0.078037128
India,2020,144,3.573299885,8.849823952,0.592200935,60.21518707,0.057551607
Malawi,2020,145,3.538000107,7.062226295,0.544007301,57.59288788,0.021433279
Tanzania,2020,148,3.476200104,7.967665195,0.688933194,57.49607468,0.109668687
Zimbabwe,2020,151,3.299200058,7.865711689,0.763092756,55.61725998,-0.072063953
Afghanistan,2020,153,2.566900015,7.462860584,0.470366955,52.59000015,-0.0964294
Finland,2021,1,7.842,10.775,0.954,72.0,-0.098
Denmark,2021,2,7.62,10.933,0.954,72.7,0.03
Switzerland,2021,3,7.571,11.117,0.942,74.4,0.025
Iceland,2021,4,7.554,10.878,0.983,73.0,0.16
Netherlands,2021,5,7.464,10.932,0.942,72.4,0.175
Norway,2021,6,7.392,11.053,0.954,73.3,0.093
Sweden,2021,7,7.363,10.867,0.934,72.7,0.086
New Zealand,2021,9,7.277,10.643,0.948,73.4,0.134
Austria,2021,10,7.268,10.906,0.934,73.3,0.042
Australia,2021,11,7.183,10.796,0.94,73.9,0.159
Israel,2021,12,7.157,10.575,0.939,73.503,0.031
Germany,2021,13,7.155,10.873,0.903,72.5,0.011
Canada,2021,14,7.103,10.776,0.926,73.8,0.089
Ireland,2021,15,7.085,11.342,0.947,72.4,0.077
Costa Rica,2021,16,7.069,9.88,0.891,71.4,-0.126
United Kingdom,2021,17,7.064,10.707,0.934,72.5,0.233
United States,2021,19,6.951,11.023,0.92,68.2,0.098
Belgium,2021,20,6.834,10.823,0.906,72.199,-0.153
France,2021,21,6.69,10.704,0.942,74.0,-0.147
Bahrain,2021,22,6.647,10.669,0.862,69.495,0.089
Malta,2021,23,6.602,10.674,0.931,72.2,0.133
United Arab Emirates,2021,25,6.561,11.085,0.844,67.333,0.074
Saudi Arabia,2021,26,6.494,10.743,0.891,66.603,-0.149
Spain,2021,27,6.491,10.571,0.932,74.7,-0.081
Italy,2021,28,6.483,10.623,0.88,73.8,-0.084
Slovenia,2021,29,6.461,10.529,0.948,71.4,-0.101
Uruguay,2021,31,6.431,9.966,0.925,69.1,-0.092
Singapore,2021,32,6.377,11.488,0.915,76.953,-0.018
Kosovo,2021,33,6.372,9.318,0.821,63.813,0.257
Slovakia,2021,34,6.331,10.369,0.936,69.201,-0.124
Brazil,2021,35,6.33,9.577,0.882,66.601,-0.071
Mexico,2021,36,6.317,9.859,0.831,68.597,-0.147
Jamaica,2021,37,6.309,9.186,0.877,67.5,-0.137
Lithuania,2021,38,6.255,10.499,0.935,67.906,-0.203
Cyprus,2021,39,6.223,10.576,0.802,73.898,-0.015
Estonia,2021,40,6.189,10.481,0.941,68.8,-0.106
Panama,2021,41,6.18,10.35,0.896,69.652,-0.166
Uzbekistan,2021,42,6.179,8.836,0.918,65.255,0.311
Chile,2021,43,6.172,10.071,0.882,70.0,-0.044
Poland,2021,44,6.166,10.382,0.898,69.702,-0.165
Kazakhstan,2021,45,6.152,10.155,0.952,65.2,-0.069
Romania,2021,46,6.14,10.284,0.832,67.355,-0.219
Serbia,2021,48,6.078,9.787,0.873,68.6,0.002
El Salvador,2021,49,6.061,9.054,0.762,66.402,-0.11
Mauritius,2021,50,6.049,10.008,0.905,66.701,-0.054
Latvia,2021,51,6.032,10.315,0.927,67.1,-0.162
Colombia,2021,52,6.012,9.557,0.847,68.001,-0.135
Hungary,2021,53,5.992,10.358,0.943,68.0,-0.186
Thailand,2021,54,5.985,9.805,0.888,67.401,0.287
Nicaragua,2021,55,5.972,8.62,0.864,67.657,0.02
Japan,2021,56,5.94,10.611,0.884,75.1,-0.258
Argentina,2021,57,5.929,9.962,0.898,69.0,-0.182
Portugal,2021,58,5.929,10.421,0.879,72.6,-0.244
Honduras,2021,59,5.919,8.648,0.812,67.3,0.081
Croatia,2021,60,5.882,10.217,0.924,70.799,-0.118
Philippines,2021,61,5.88,9.076,0.83,62.0,-0.097
South Korea,2021,62,5.845,10.651,0.799,73.9,-0.083
Peru,2021,63,5.84,9.458,0.832,68.25,-0.154
Bosnia and Herzegovina,2021,64,5.813,9.59,0.87,68.098,0.113
Moldova,2021,65,5.766,9.454,0.857,65.699,-0.079
Ecuador,2021,66,5.764,9.313,0.821,68.8,-0.124
Kyrgyzstan,2021,67,5.744,8.538,0.893,64.401,0.119
Greece,2021,68,5.723,10.279,0.823,72.6,-0.288
Bolivia,2021,69,5.716,9.046,0.81,63.901,-0.077
Mongolia,2021,70,5.677,9.4,0.935,62.5,0.116
Paraguay,2021,71,5.653,9.448,0.893,65.9,0.028
Montenegro,2021,72,5.581,9.94,0.858,68.699,-0.034
Dominican Republic,2021,73,5.545,9.802,0.853,66.102,-0.133
Russia,2021,76,5.477,10.189,0.903,64.703,-0.111
Tajikistan,2021,78,5.466,8.091,0.86,64.281,-0.056
Vietnam,2021,79,5.411,8.973,0.85,68.034,-0.098
Malaysia,2021,81,5.384,10.238,0.817,67.102,0.125
Indonesia,2021,82,5.345,9.365,0.811,62.236,0.542
China,2021,84,5.339,9.673,0.811,69.593,-0.146
Ivory Coast,2021,85,5.306,8.551,0.644,50.114,-0.016
Armenia,2021,86,5.283,9.487,0.799,67.055,-0.168
Nepal,2021,87,5.269,8.12,0.774,64.233,0.152
Bulgaria,2021,88,5.266,10.016,0.931,67.0,-0.096
Cameroon,2021,91,5.142,8.189,0.71,53.515,0.026
Senegal,2021,92,5.132,8.118,0.71,59.802,-0.046
Albania,2021,93,5.117,9.52,0.697,68.999,-0.03
Ghana,2021,95,5.088,8.58,0.727,57.586,0.123
Benin,2021,99,5.045,8.087,0.489,54.713,-0.034
Bangladesh,2021,101,5.025,8.454,0.693,64.8,-0.041
Guinea,2021,102,4.984,7.838,0.639,55.008,0.095
South Africa,2021,103,4.956,9.403,0.86,56.904,-0.067
Turkey,2021,104,4.948,10.24,0.822,67.199,-0.139
Pakistan,2021,105,4.934,8.458,0.651,58.709,0.098
Morocco,2021,106,4.918,8.903,0.56,66.208,-0.236
Venezuela,2021,107,4.892,9.073,0.861,66.7,-0.169
Georgia,2021,108,4.891,9.585,0.671,64.3,-0.238
Algeria,2021,109,4.887,9.342,0.802,66.005,-0.067
Ukraine,2021,110,4.875,9.436,0.888,64.902,-0.011
Iraq,2021,111,4.854,9.24,0.746,60.583,-0.053
Gabon,2021,112,4.852,9.603,0.776,59.962,-0.2
Burkina Faso,2021,113,4.834,7.678,0.672,54.151,-0.009
Cambodia,2021,114,4.83,8.36,0.765,62.0,0.034
Nigeria,2021,116,4.759,8.533,0.74,50.102,0.037
Mali,2021,117,4.723,7.744,0.724,51.969,-0.036
Iran,2021,118,4.721,9.584,0.71,66.3,0.218
Uganda,2021,119,4.636,7.677,0.781,56.101,0.122
Kenya,2021,121,4.607,8.361,0.688,60.704,0.287
Tunisia,2021,122,4.596,9.266,0.691,67.201,-0.201
Lebanon,2021,123,4.584,9.626,0.848,67.355,-0.073
Myanmar,2021,126,4.426,8.541,0.779,59.302,0.509
Jordan,2021,127,4.395,9.182,0.767,67.0,-0.167
Sri Lanka,2021,129,4.325,9.47,0.827,67.299,0.079
Egypt,2021,132,4.283,9.367,0.75,61.998,-0.182
Ethiopia,2021,133,4.275,7.694,0.764,59.0,0.082
Togo,2021,136,4.107,7.362,0.569,54.914,0.032
Zambia,2021,137,4.073,8.145,0.708,55.809,0.061
Sierra Leone,2021,138,3.849,7.434,0.63,51.651,0.084
India,2021,139,3.819,8.755,0.603,60.633,0.089
Tanzania,2021,142,3.623,7.876,0.702,57.999,0.183
Malawi,2021,144,3.6,6.958,0.537,57.948,0.038
Zimbabwe,2021,148,3.145,7.943,0.75,56.201,-0.047
Afghanistan,2021,149,2.523,7.695,0.463,52.493,-0.102
Finland,2022,1,7.821,1.892,1.258,77.5,0.109
Denmark,2022,2,7.636,1.953,1.243,77.7,0.188
Iceland,2022,3,7.557,1.936,1.32,80.30000000000001,0.27
Switzerland,2022,4,7.512,2.026,1.226,82.19999999999999,0.147
Netherlands,2022,5,7.415,1.945,1.206,78.7,0.271
Sweden,2022,7,7.384,1.92,1.204,80.30000000000001,0.218
Norway,2022,8,7.365,1.997,1.239,78.60000000000001,0.217
Israel,2022,9,7.364,1.826,1.221,81.8,0.155
New Zealand,2022,10,7.2,1.852,1.235,75.2,0.245
Austria,2022,11,7.163,1.931,1.165,77.4,0.193
Australia,2022,12,7.162,1.9,1.203,77.2,0.258
Ireland,2022,13,7.041,2.129,1.166,77.9,0.19
Germany,2022,14,7.034,1.924,1.088,77.60000000000001,0.163
Canada,2022,15,7.025,1.886,1.188,78.3,0.217
United States,2022,16,6.977,1.982,1.182,62.8,0.22
United Kingdom,2022,17,6.943,1.867,1.143,75.0,0.289
Belgium,2022,19,6.805,1.907,1.106,76.4,0.049
France,2022,20,6.687,1.863,1.219,80.80000000000001,0.07
Bahrain,2022,21,6.647,1.854,1.029,62.5,0.199
Slovenia,2022,22,6.63,1.81,1.249,76.9,0.118
Costa Rica,2022,23,6.582,1.584,1.054,74.4,0.089
United Arab Emirates,2022,24,6.576,1.998,0.98,63.3,0.204
Saudi Arabia,2022,25,6.523,1.87,1.092,57.699999999999996,0.078
Singapore,2022,27,6.48,2.149,1.127,85.1,0.163
Romania,2022,28,6.477,1.719,1.006,65.5,0.039
Spain,2022,29,6.476,1.808,1.211,80.80000000000001,0.101
Uruguay,2022,30,6.474,1.615,1.18,67.2,0.103
Italy,2022,31,6.467,1.834,1.052,80.10000000000001,0.085
Kosovo,2022,32,6.455,1.362,0.949,56.89999999999999,0.309
Malta,2022,33,6.447,1.838,1.169,78.9,0.174
Lithuania,2022,34,6.446,1.804,1.204,65.9,0.053
Slovakia,2022,35,6.391,1.736,1.232,70.7,0.118
Estonia,2022,36,6.341,1.793,1.232,72.8,0.123
Panama,2022,37,6.309,1.715,1.107,70.89999999999999,0.049
Brazil,2022,38,6.293,1.462,1.044,61.5,0.131
Kazakhstan,2022,40,6.234,1.668,1.22,61.1,0.134
Cyprus,2022,41,6.221,1.815,0.909,81.89999999999999,0.123
Latvia,2022,42,6.18,1.732,1.221,63.7,0.075
Serbia,2022,43,6.178,1.55,1.086,65.8,0.219
Chile,2022,44,6.172,1.651,1.08,74.8,0.124
Nicaragua,2022,45,6.165,1.105,1.029,61.7,0.168
Mexico,2022,46,6.128,1.552,0.886,62.3,0.092
Croatia,2022,47,6.125,1.705,1.183,70.89999999999999,0.109
Poland,2022,48,6.123,1.758,1.174,71.2,0.124
El Salvador,2022,49,6.12,1.265,0.768,60.699999999999996,0.089
Hungary,2022,51,6.086,1.748,1.233,66.8,0.078
Mauritius,2022,52,6.071,1.591,1.116,56.8,0.131
Uzbekistan,2022,53,6.063,1.219,1.092,60.0,0.283
Japan,2022,54,6.039,1.835,1.089,86.6,0.007
Honduras,2022,55,6.022,1.111,0.885,55.50000000000001,0.202
Portugal,2022,56,6.016,1.76,1.078,77.7,0.016
Argentina,2022,57,5.967,1.592,1.102,66.2,0.081
Greece,2022,58,5.948,1.703,0.98,77.4,0.015
South Korea,2022,59,5.935,1.851,0.886,84.1,0.111
Philippines,2022,60,5.904,1.268,0.912,51.4,0.107
Thailand,2022,61,5.891,1.535,1.096,69.69999999999999,0.321
Moldova,2022,62,5.857,1.417,1.008,59.699999999999996,0.102
Jamaica,2022,63,5.85,1.296,1.045,64.60000000000001,0.08
Kyrgyzstan,2022,64,5.828,1.069,1.109,63.800000000000004,0.208
Colombia,2022,66,5.781,1.452,0.929,72.0,0.087
Bosnia and Herzegovina,2022,67,5.768,1.468,1.068,66.5,0.244
Mongolia,2022,68,5.761,1.393,1.197,46.7,0.247
Dominican Republic,2022,69,5.737,1.538,1.003,57.699999999999996,0.084
Malaysia,2022,70,5.711,1.689,0.938,62.0,0.213
Bolivia,2022,71,5.6,1.256,0.88,55.50000000000001,0.112
China,2022,72,5.585,1.508,0.958,70.5,0.099
Paraguay,2022,73,5.578,1.409,1.13,62.4,0.171
Peru,2022,74,5.559,1.397,0.865,73.5,0.09
Montenegro,2022,75,5.547,1.573,1.023,65.9,0.135
Ecuador,2022,76,5.533,1.352,0.879,70.8,0.08
Vietnam,2022,77,5.485,1.252,0.932,61.1,0.143
Russia,2022,80,5.459,1.685,1.095,58.599999999999994,0.117
Armenia,2022,82,5.399,1.434,0.82,66.8,0.054
Tajikistan,2022,83,5.377,0.966,1.005,51.800000000000004,0.118
Nepal,2022,84,5.377,0.984,0.784,49.9,0.237
Bulgaria,2022,85,5.371,1.625,1.163,64.0,0.123
Indonesia,2022,87,5.24,1.382,0.883,53.900000000000006,0.468
Ivory Coast,2022,88,5.235,1.094,0.442,32.2,0.149
Albania,2022,90,5.199,1.439,0.646,71.89999999999999,0.138
South Africa,2022,91,5.194,1.425,1.088,36.1,0.089
Bangladesh,2022,94,5.155,1.06,0.614,58.099999999999994,0.125
Algeria,2022,96,5.122,1.363,0.97,64.3,0.106
Ukraine,2022,98,5.084,1.411,1.081,58.3,0.188
Morocco,2022,100,5.06,1.208,0.268,56.49999999999999,0.02
Cameroon,2022,102,5.048,0.968,0.672,31.7,0.152
Senegal,2022,103,5.046,0.933,0.53,44.7,0.143
Georgia,2022,105,4.973,1.467,0.612,59.5,0.0
Gabon,2022,106,4.958,1.459,0.738,39.6,0.032
Iraq,2022,107,4.941,1.289,0.682,55.400000000000006,0.147
Venezuela,2022,108,4.925,0.0,0.968,57.8,0.225
Guinea,2022,109,4.891,0.848,0.566,27.500000000000004,0.214
Iran,2022,110,4.888,1.41,0.741,64.2,0.241
Ghana,2022,111,4.872,1.112,0.595,40.9,0.23
Turkey,2022,112,4.744,1.707,0.865,70.19999999999999,0.087
Burkina Faso,2022,113,4.67,0.779,0.565,32.0,0.186
Cambodia,2022,114,4.64,1.019,0.732,50.5,0.166
Benin,2022,115,4.623,0.932,0.064,33.5,0.127
Uganda,2022,117,4.603,0.777,0.875,41.8,0.222
Nigeria,2022,118,4.552,1.079,0.732,30.0,0.175
Kenya,2022,119,4.543,1.032,0.605,40.1,0.322
Tunisia,2022,120,4.516,1.35,0.596,65.60000000000001,0.029
Pakistan,2022,121,4.516,1.049,0.413,37.4,0.181
Mali,2022,123,4.479,0.792,0.483,31.1,0.128
Myanmar,2022,126,4.394,1.038,0.829,49.1,0.452
Sri Lanka,2022,127,4.362,1.415,0.934,66.0,0.15
Egypt,2022,129,4.288,1.388,0.732,54.800000000000004,0.041
Ethiopia,2022,131,4.241,0.788,0.809,45.7,0.205
Jordan,2022,134,4.152,1.324,0.724,67.5,0.058
Togo,2022,135,4.112,0.771,0.322,36.0,0.174
India,2022,136,3.777,1.167,0.376,47.099999999999994,0.198
Zambia,2022,137,3.76,0.93,0.577,30.599999999999998,0.203
Malawi,2022,138,3.75,0.648,0.279,38.800000000000004,0.14
Tanzania,2022,139,3.702,0.848,0.597,42.5,0.248
Sierra Leone,2022,140,3.574,0.686,0.416,27.3,0.202
Zimbabwe,2022,144,2.995,0.947,0.69,27.0,0.106
Lebanon,2022,145,2.955,1.392,0.498,63.1,0.082
Afghanistan,2022,146,2.404,0.758,0.0,28.9,0.089
